"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","s_drs","outs_above_average","fielder_name","m_drs","delta_drs","pos_to_neg","neg_to_pos"
"Caminero, Junior",691406,"Rays",2026,"3B",-12,-16,"Junior Caminero",8.87,20.87,1,0
"Walls, Taylor",670764,"Rays",2026,"SS",-2,-3,"Taylor Walls",16.86,18.86,1,0
"Turang, Brice",668930,"Brewers",2026,"2B",8,11,"Brice Turang",25.67,17.67,0,0
"Nuñez, Nasim",683083,"Nationals",2026,"2B",4,5,"Nasim Nunez",20.36,16.36,0,0
"Neto, Zach",687263,"Angels",2026,"SS",-5,-6,"Zach Neto",10.78,15.78,1,0
"Hamilton, David",666152,"Brewers",2026,"3B",-7,-9,"David Hamilton",5.79,12.79,1,0
"Williamson, Ben",810938,"Rays",2026,"2B",-3,-4,"Ben Williamson",9.23,12.23,1,0
"Hayes, Ke'Bryan",663647,"Reds",2026,"3B",3,4,"Ke'Bryan Hayes",14.96,11.96,0,0
"Abreu, Wilyer",677800,"Red Sox",2026,"RF",2,2,"Wilyer Abreu",13.95,11.95,0,0
"Young, Cole",702284,"Mariners",2026,"2B",-3,-4,"Cole Young",8.37,11.37,1,0
"Griffin, Konnor",804606,"Pirates",2026,"SS",-5,-6,"Konnor Griffin",5.96,10.96,1,0
"Torkelson, Spencer",679529,"Tigers",2026,"1B",-9,-12,"Spencer Torkelson",1.14,10.14,1,0
"Muncy, Max",571970,"Dodgers",2026,"3B",3,4,"Max Muncy",12.65,9.65,0,0
"Adames, Willy",642715,"Giants",2026,"SS",-13,-17,"Willy Adames",-3.74,9.26,0,0
"Chapman, Matt",656305,"Giants",2026,"3B",3,4,"Matt Chapman",12.02,9.02,0,0
"Jackson, Jeremiah",669236,"Orioles",2026,"2B",-1,-2,"Jeremiah Jackson",7.82,8.82,1,0
"Happ, Ian",664023,"Cubs",2026,"LF",1,1,"Ian Happ",9.7,8.7,0,0
"Olson, Matt",621566,"Braves",2026,"1B",5,6,"Matt Olson",13.57,8.57,0,0
"Freeland, Alex",690976,"Dodgers",2026,"2B",2,2,"Alex Freeland",10.57,8.57,0,0
"Vargas, Miguel",678246,"White Sox",2026,"3B",-6,-7,"Miguel Vargas",2.12,8.12,1,0
"Burleson, Alec",676475,"Cardinals",2026,"1B",-2,-3,"Alec Burleson",6.02,8.02,1,0
"Semien, Marcus",543760,"Mets",2026,"2B",-4,-5,"Marcus Semien",3.99,7.99,1,0
"Mead, Curtis",678554,"---",2026,"3B",-7,-9,"Curtis Mead",0.5,7.5,1,0
"Walker, Christian",572233,"Astros",2026,"1B",1,2,"Christian Walker",8.48,7.48,0,0
"Monasterio, Andruw",655316,"Red Sox",2026,"SS",-11,-14,"Andruw Monasterio",-3.59,7.41,0,0
"Kwan, Steven",680757,"Guardians",2026,"CF",7,8,"Steven Kwan",14.05,7.05,0,0
"Vargas, Ildemaro",545121,"D-backs",2026,"2B",0,1,"Ildemaro Vargas",7.02,7.02,0,0
"Smith, Cam",701358,"Astros",2026,"RF",4,5,"Cam Smith",10.93,6.93,0,0
"Suzuki, Seiya",673548,"Cubs",2026,"RF",4,4,"Seiya Suzuki",10.76,6.76,0,0
"Durbin, Caleb",702332,"Red Sox",2026,"3B",3,4,"Caleb Durbin",9.65,6.65,0,0
"Lukes, Nathan",664770,"Blue Jays",2026,"RF",2,2,"Nathan Lukes",8.58,6.58,0,0
"Bregman, Alex",608324,"Cubs",2026,"3B",6,7,"Alex Bregman",12.39,6.39,0,0
"Palacios, Richie",680700,"Rays",2026,"2B",-5,-6,"Richie Palacios",1.36,6.36,1,0
"Peraza, Oswald",672724,"Angels",2026,"2B",-1,-2,"Oswald Peraza",5.29,6.29,1,0
"House, Brady",691781,"Nationals",2026,"3B",-2,-2,"Brady House",4.14,6.14,1,0
"Simpson, Chandler",802415,"Rays",2026,"LF",7,8,"Chandler Simpson",12.98,5.98,0,0
"Benge, Carson",701807,"Mets",2026,"RF",0,0,"Carson Benge",5.9,5.9,0,0
"Walker, Jordan",691023,"Cardinals",2026,"RF",-7,-8,"Jordan Walker",-1.51,5.49,0,0
"Martínez, Angel",682657,"Guardians",2026,"LF",2,2,"Angel Martinez",7.42,5.42,0,0
"Pages, Andy",681624,"Dodgers",2026,"CF",8,8,"Andy Pages",13,5,0,0
"Acuña Jr., Ronald",660670,"Braves",2026,"RF",-6,-6,"Ronald Acuna",-1.06,4.94,0,0
"Gelof, Zack",680869,"Athletics",2026,"3B",-2,-3,"Zack Gelof",2.86,4.86,1,0
"Williams, Alika",675961,"Athletics",2026,"SS",0,0,"Alika Williams",4.31,4.31,0,0
"Winn, Masyn",691026,"Cardinals",2026,"SS",12,16,"Masyn Winn",16.31,4.31,0,0
"Meidroth, Chase",805367,"White Sox",2026,"2B",7,9,"Chase Meidroth",11.15,4.15,0,0
"Caballero, José",676609,"Yankees",2026,"SS",2,2,"Jose Caballero",6.08,4.08,0,0
"Jarvis, Jim",805347,"Braves",2026,"SS",0,0,"Jim Jarvis",4.06,4.06,0,0
"Busch, Michael",683737,"Cubs",2026,"1B",3,4,"Michael Busch",6.95,3.95,0,0
"Guerrero Jr., Vladimir",665489,"Blue Jays",2026,"1B",2,3,"Vladimir Guerrero",5.85,3.85,0,0
"Pasquantino, Vinnie",686469,"Royals",2026,"1B",0,0,"Vinnie Pasquantino",3.77,3.77,0,0
"Yastrzemski, Mike",573262,"Braves",2026,"LF",-2,-2,"Mike Yastrzemski",1.77,3.77,1,0
"Vientos, Mark",668901,"Mets",2026,"1B",-6,-8,"Mark Vientos",-2.24,3.76,0,0
"Wood, James",695578,"Nationals",2026,"RF",-6,-6,"James Wood",-2.39,3.61,0,0
"Lee, Brooks",686797,"Twins",2026,"3B",-2,-3,"Brooks Lee",1.48,3.48,1,0
